Date,Price_IDR,Promotion,Demand_Raw,Sales_Actual,Stockout_Occurred,Demand_Cleaned
2023-05-09,65000,0,286,286,0,286
2023-05-10,65000,0,377,377,0,377
2023-05-11,65000,0,355,314,1,354
2023-05-12,65000,0,352,352,0,352
2023-05-13,65000,0,442,442,0,442
2023-05-14,65000,0,428,428,0,428
2023-05-15,65000,0,308,308,0,308
2023-05-16,65000,0,318,318,0,318
2023-05-17,65000,0,360,360,0,360
2023-05-18,65000,0,372,372,0,372
2023-05-19,65000,0,403,403,0,403
2023-05-20,65000,0,449,449,0,449
2023-05-21,65000,0,373,295,1,377
2023-05-22,65000,0,318,318,0,318
2023-05-23,65000,0,272,272,0,272
2023-05-24,65000,0,388,325,1,353
2023-05-25,61750,1,422,422,0,422
2023-05-26,58500,1,574,574,0,574
2023-05-27,65000,0,432,432,0,432
2023-05-28,58500,1,498,498,0,498
2023-05-29,65000,0,338,338,0,338
2023-05-30,65000,0,288,288,0,288
2023-05-31,65000,0,346,346,0,346
2023-06-01,65000,0,356,356,0,356
2023-06-02,65000,0,344,344,0,344
2023-06-03,65000,0,391,391,0,391
2023-06-04,65000,0,423,423,0,423
2023-06-05,65000,0,342,342,0,342
2023-06-06,65000,0,334,334,0,334
2023-06-07,65000,0,334,334,0,334
2023-06-08,65000,0,370,370,0,370
2023-06-09,65000,0,414,414,0,414
2023-06-10,65000,0,414,414,0,414
2023-06-11,65000,0,442,442,0,442
2023-06-12,65000,0,334,334,0,334
2023-06-13,65000,0,308,308,0,308
2023-06-14,65000,0,363,363,0,363
2023-06-15,65000,0,360,360,0,360
2023-06-16,65000,0,350,350,0,350
2023-06-17,65000,0,382,382,0,382
2023-06-18,65000,0,388,388,0,388
2023-06-19,65000,0,327,327,0,327
2023-06-20,65000,0,347,347,0,347
2023-06-21,65000,0,362,362,0,362
2023-06-22,65000,0,350,350,0,350
2023-06-23,65000,0,419,419,0,419
2023-06-24,65000,0,406,406,0,406
2023-06-25,65000,0,410,410,0,410
2023-06-26,58500,1,435,435,0,435
2023-06-27,58500,1,445,445,0,445
2023-06-28,58500,1,495,495,0,495
2023-06-29,65000,0,359,359,0,359
2023-06-30,65000,0,364,364,0,364
2023-07-01,65000,0,401,401,0,401
2023-07-02,65000,0,419,419,0,419
2023-07-03,65000,0,350,350,0,350
2023-07-04,65000,0,287,287,0,287
2023-07-05,65000,0,343,343,0,343
2023-07-06,65000,0,387,387,0,387
2023-07-07,65000,0,393,393,0,393
2023-07-08,65000,0,456,456,0,456
2023-07-09,65000,0,451,451,0,451
2023-07-10,65000,0,334,334,0,334
2023-07-11,65000,0,281,281,0,281
2023-07-12,65000,0,335,335,0,335
2023-07-13,65000,0,342,342,0,342
2023-07-14,65000,0,374,374,0,374
2023-07-15,65000,0,424,424,0,424
2023-07-16,65000,0,405,405,0,405
2023-07-17,65000,0,339,339,0,339
2023-07-18,65000,0,393,393,0,393
2023-07-19,65000,0,364,364,0,364
2023-07-20,65000,0,366,366,0,366
2023-07-21,65000,0,354,354,0,354
2023-07-22,65000,0,452,452,0,452
2023-07-23,65000,0,386,386,0,386
2023-07-24,65000,0,328,328,0,328
2023-07-25,61750,1,397,397,0,397
2023-07-26,58500,1,472,472,0,472
2023-07-27,58500,1,506,506,0,506
2023-07-28,55250,1,585,585,0,585
2023-07-29,65000,0,399,399,0,399
2023-07-30,65000,0,406,406,0,406
2023-07-31,65000,0,332,332,0,332
2023-08-01,65000,0,362,362,0,362
2023-08-02,65000,0,347,347,0,347
2023-08-03,65000,0,348,348,0,348
2023-08-04,65000,0,335,335,0,335
2023-08-05,65000,0,406,406,0,406
2023-08-06,65000,0,462,462,0,462
2023-08-07,65000,0,307,307,0,307
2023-08-08,65000,0,317,317,0,317
2023-08-09,65000,0,339,339,0,339
2023-08-10,65000,0,335,335,0,335
2023-08-11,65000,0,401,401,0,401
2023-08-12,65000,0,467,467,0,467
2023-08-13,65000,0,380,380,0,380
2023-08-14,65000,0,307,307,0,307
2023-08-15,65000,0,320,320,0,320
2023-08-16,65000,0,358,262,1,364
2023-08-17,65000,0,396,396,0,396
2023-08-18,65000,0,373,373,0,373
2023-08-19,65000,0,392,392,0,392
2023-08-20,65000,0,389,389,0,389
2023-08-21,65000,0,379,379,0,379
2023-08-22,65000,0,322,322,0,322
2023-08-23,65000,0,387,387,0,387
2023-08-24,65000,0,383,211,1,377
2023-08-25,61750,1,470,470,0,470
2023-08-26,61750,1,442,442,0,442
2023-08-27,55250,1,537,537,0,537
2023-08-28,55250,1,402,295,1,393
2023-08-29,65000,0,317,317,0,317
2023-08-30,65000,0,346,346,0,346
2023-08-31,65000,0,355,355,0,355
2023-09-01,65000,0,420,420,0,420
2023-09-02,65000,0,393,393,0,393
2023-09-03,65000,0,397,397,0,397
2023-09-04,65000,0,299,299,0,299
2023-09-05,65000,0,310,310,0,310
2023-09-06,65000,0,360,360,0,360
2023-09-07,65000,0,362,362,0,362
2023-09-08,65000,0,399,399,0,399
2023-09-09,65000,0,477,477,0,477
2023-09-10,65000,0,452,452,0,452
2023-09-11,65000,0,324,324,0,324
2023-09-12,65000,0,404,404,0,404
2023-09-13,65000,0,392,392,0,392
2023-09-14,65000,0,340,289,1,401
2023-09-15,65000,0,380,380,0,380
2023-09-16,65000,0,424,424,0,424
2023-09-17,65000,0,437,437,0,437
2023-09-18,65000,0,320,320,0,320
2023-09-19,65000,0,374,374,0,374
2023-09-20,65000,0,363,363,0,363
2023-09-21,65000,0,410,410,0,410
2023-09-22,65000,0,408,408,0,408
2023-09-23,65000,0,427,427,0,427
2023-09-24,65000,0,448,448,0,448
2023-09-25,61750,1,409,409,0,409
2023-09-26,61750,1,466,466,0,466
2023-09-27,58500,1,503,503,0,503
2023-09-28,58500,1,460,460,0,460
2023-09-29,65000,0,310,310,0,310
2023-09-30,65000,0,453,453,0,453
2023-10-01,65000,0,493,493,0,493
2023-10-02,65000,0,348,348,0,348
2023-10-03,65000,0,320,320,0,320
2023-10-04,65000,0,370,370,0,370
2023-10-05,65000,0,372,372,0,372
2023-10-06,65000,0,328,328,0,328
2023-10-07,65000,0,376,376,0,376
2023-10-08,65000,0,362,362,0,362
2023-10-09,65000,0,344,342,1,354
2023-10-10,65000,0,347,347,0,347
2023-10-11,65000,0,338,338,0,338
2023-10-12,65000,0,418,418,0,418
2023-10-13,65000,0,393,393,0,393
2023-10-14,65000,0,364,242,1,368
2023-10-15,65000,0,402,402,0,402
2023-10-16,65000,0,296,296,0,296
2023-10-17,65000,0,360,360,0,360
2023-10-18,65000,0,391,391,0,391
2023-10-19,65000,0,388,388,0,388
2023-10-20,65000,0,433,433,0,433
2023-10-21,65000,0,394,394,0,394
2023-10-22,65000,0,392,392,0,392
2023-10-23,65000,0,354,354,0,354
2023-10-24,65000,0,410,410,0,410
2023-10-25,58500,1,478,478,0,478
2023-10-26,61750,1,415,415,0,415
2023-10-27,55250,1,475,475,0,475
2023-10-28,55250,1,635,635,0,635
2023-10-29,65000,0,380,380,0,380
2023-10-30,65000,0,367,367,0,367
2023-10-31,65000,0,310,310,0,310
2023-11-01,65000,0,346,346,0,346
2023-11-02,65000,0,379,379,0,379
2023-11-03,65000,0,428,428,0,428
2023-11-04,65000,0,450,450,0,450
2023-11-05,65000,0,483,483,0,483
2023-11-06,65000,0,328,328,0,328
2023-11-07,65000,0,356,356,0,356
2023-11-08,65000,0,366,366,0,366
2023-11-09,65000,0,376,376,0,376
2023-11-10,65000,0,428,362,1,398
2023-11-11,52000,1,976,976,0,976
2023-11-12,65000,0,384,384,0,384
2023-11-13,65000,0,323,323,0,323
2023-11-14,65000,0,334,334,0,334
2023-11-15,65000,0,351,351,0,351
2023-11-16,65000,0,386,386,0,386
2023-11-17,65000,0,395,395,0,395
2023-11-18,65000,0,437,366,1,450
2023-11-19,65000,0,411,411,0,411
2023-11-20,65000,0,391,391,0,391
2023-11-21,65000,0,359,359,0,359
2023-11-22,65000,0,382,382,0,382
2023-11-23,65000,0,421,367,1,384
2023-11-24,65000,0,387,387,0,387
2023-11-25,58500,1,499,499,0,499
2023-11-26,61750,1,540,540,0,540
2023-11-27,61750,1,433,433,0,433
2023-11-28,61750,1,379,379,0,379
2023-11-29,65000,0,372,372,0,372
2023-11-30,65000,0,418,418,0,418
2023-12-01,65000,0,371,371,0,371
2023-12-02,65000,0,427,427,0,427
2023-12-03,65000,0,445,445,0,445
2023-12-04,65000,0,351,351,0,351
2023-12-05,65000,0,352,352,0,352
2023-12-06,65000,0,419,290,1,391
2023-12-07,65000,0,341,341,0,341
2023-12-08,65000,0,442,442,0,442
2023-12-09,65000,0,441,441,0,441
2023-12-10,65000,0,456,456,0,456
2023-12-11,65000,0,325,325,0,325
2023-12-12,52000,1,941,941,0,941
2023-12-13,65000,0,337,337,0,337
2023-12-14,65000,0,340,340,0,340
2023-12-15,65000,0,422,422,0,422
2023-12-16,65000,0,501,501,0,501
2023-12-17,65000,0,414,414,0,414
2023-12-18,65000,0,372,328,1,469
2023-12-19,65000,0,434,434,0,434
2023-12-20,65000,0,452,452,0,452
2023-12-21,65000,0,460,460,0,460
2023-12-22,65000,0,543,543,0,543
2023-12-23,65000,0,542,542,0,542
2023-12-24,65000,0,473,473,0,473
2023-12-25,58500,1,507,507,0,507
2023-12-26,58500,1,470,470,0,470
2023-12-27,58500,1,497,497,0,497
2023-12-28,61750,1,538,538,0,538
2023-12-29,65000,0,458,458,0,458
2023-12-30,65000,0,512,512,0,512
2023-12-31,65000,0,492,492,0,492
2024-01-01,65000,0,319,319,0,319
2024-01-02,65000,0,353,353,0,353
2024-01-03,65000,0,400,400,0,400
2024-01-04,65000,0,380,380,0,380
2024-01-05,65000,0,377,377,0,377
2024-01-06,65000,0,435,435,0,435
2024-01-07,65000,0,367,367,0,367
2024-01-08,65000,0,388,388,0,388
2024-01-09,65000,0,370,370,0,370
2024-01-10,65000,0,381,381,0,381
2024-01-11,65000,0,395,395,0,395
2024-01-12,65000,0,381,381,0,381
2024-01-13,65000,0,436,436,0,436
2024-01-14,65000,0,439,439,0,439
2024-01-15,65000,0,386,222,1,399
2024-01-16,65000,0,317,317,0,317
2024-01-17,65000,0,351,351,0,351
2024-01-18,65000,0,406,406,0,406
2024-01-19,65000,0,390,312,1,365
2024-01-20,65000,0,371,371,0,371
2024-01-21,65000,0,456,456,0,456
2024-01-22,65000,0,338,338,0,338
2024-01-23,65000,0,425,425,0,425
2024-01-24,65000,0,402,402,0,402
2024-01-25,61750,1,484,484,0,484
2024-01-26,61750,1,434,434,0,434
2024-01-27,61750,1,541,541,0,541
2024-01-28,55250,1,638,638,0,638
2024-01-29,65000,0,310,310,0,310
2024-01-30,65000,0,388,388,0,388
2024-01-31,65000,0,365,365,0,365
2024-02-01,65000,0,384,384,0,384
2024-02-02,65000,0,369,369,0,369
2024-02-03,65000,0,455,455,0,455
2024-02-04,65000,0,391,391,0,391
2024-02-05,65000,0,308,308,0,308
2024-02-06,65000,0,362,362,0,362
2024-02-07,65000,0,338,338,0,338
2024-02-08,65000,0,385,385,0,385
2024-02-09,65000,0,467,467,0,467
2024-02-10,65000,0,470,470,0,470
2024-02-11,65000,0,427,427,0,427
2024-02-12,65000,0,353,196,1,394
2024-02-13,65000,0,380,380,0,380
2024-02-14,65000,0,379,379,0,379
2024-02-15,65000,0,402,402,0,402
2024-02-16,65000,0,441,441,0,441
2024-02-17,65000,0,429,429,0,429
2024-02-18,65000,0,432,432,0,432
2024-02-19,65000,0,362,362,0,362
2024-02-20,65000,0,330,187,1,404
2024-02-21,65000,0,352,352,0,352
2024-02-22,65000,0,349,320,1,372
2024-02-23,65000,0,336,336,0,336
2024-02-24,65000,0,445,445,0,445
2024-02-25,65000,0,424,424,0,424
2024-02-26,58500,1,429,429,0,429
2024-02-27,58500,1,495,495,0,495
2024-02-28,55250,1,575,575,0,575
2024-02-29,65000,0,411,411,0,411
2024-03-01,65000,0,402,402,0,402
2024-03-02,65000,0,387,387,0,387
2024-03-03,65000,0,396,396,0,396
2024-03-04,65000,0,332,332,0,332
2024-03-05,65000,0,301,301,0,301
2024-03-06,65000,0,390,390,0,390
2024-03-07,65000,0,451,451,0,451
2024-03-08,65000,0,415,415,0,415
2024-03-09,65000,0,488,488,0,488
2024-03-10,65000,0,399,399,0,399
2024-03-11,65000,0,363,240,1,397
2024-03-12,65000,0,381,381,0,381
2024-03-13,65000,0,416,416,0,416
2024-03-14,65000,0,373,373,0,373
2024-03-15,65000,0,402,402,0,402
2024-03-16,58500,1,1108,1108,0,1108
2024-03-17,61750,1,847,847,0,847
2024-03-18,61750,1,769,769,0,769
2024-03-19,58500,1,1089,1089,0,1089
2024-03-20,61750,1,867,867,0,867
2024-03-21,61750,1,892,892,0,892
2024-03-22,61750,1,995,995,0,995
2024-03-23,61750,1,1077,644,1,938
2024-03-24,58500,1,1037,1037,0,1037
2024-03-25,58500,1,983,983,0,983
2024-03-26,58500,1,865,865,0,865
2024-03-27,55250,1,1303,1303,0,1303
2024-03-28,58500,1,1213,1213,0,1213
2024-03-29,58500,1,1093,1093,0,1093
2024-03-30,58500,1,1290,1290,0,1290
2024-03-31,65000,0,907,907,0,907
2024-04-01,55250,1,967,967,0,967
2024-04-02,58500,1,1067,1067,0,1067
2024-04-03,61750,1,896,896,0,896
2024-04-04,61750,1,897,897,0,897
2024-04-05,65000,0,900,810,1,1017
2024-04-06,61750,1,1189,1066,1,976
2024-04-07,65000,0,946,312,1,944
2024-04-08,61750,1,935,703,1,859
2024-04-09,61750,1,825,825,0,825
2024-04-10,55250,1,1135,1135,0,1135
2024-04-11,65000,0,61,61,0,61
2024-04-12,65000,0,55,55,0,55
2024-04-13,65000,0,70,70,0,70
2024-04-14,65000,0,449,397,1,452
2024-04-15,65000,0,392,392,0,392
2024-04-16,65000,0,348,348,0,348
2024-04-17,65000,0,409,409,0,409
2024-04-18,65000,0,390,390,0,390
2024-04-19,65000,0,421,421,0,421
2024-04-20,65000,0,427,427,0,427
2024-04-21,65000,0,398,398,0,398
2024-04-22,65000,0,326,326,0,326
2024-04-23,65000,0,322,322,0,322
2024-04-24,65000,0,418,418,0,418
2024-04-25,61750,1,447,447,0,447
2024-04-26,61750,1,441,441,0,441
2024-04-27,55250,1,716,716,0,716
2024-04-28,61750,1,544,544,0,544
2024-04-29,65000,0,370,292,1,459
2024-04-30,65000,0,363,363,0,363
2024-05-01,65000,0,346,346,0,346
2024-05-02,65000,0,462,462,0,462
2024-05-03,65000,0,435,435,0,435
2024-05-04,65000,0,516,516,0,516
2024-05-05,65000,0,431,431,0,431
2024-05-06,65000,0,373,373,0,373
2024-05-07,65000,0,399,399,0,399
2024-05-08,65000,0,397,397,0,397
2024-05-09,65000,0,417,417,0,417
2024-05-10,65000,0,410,340,1,424
2024-05-11,65000,0,460,460,0,460
2024-05-12,65000,0,451,451,0,451
2024-05-13,65000,0,454,454,0,454
2024-05-14,65000,0,383,383,0,383
2024-05-15,65000,0,355,355,0,355
2024-05-16,65000,0,395,395,0,395
2024-05-17,65000,0,397,397,0,397
2024-05-18,65000,0,516,516,0,516
2024-05-19,65000,0,398,398,0,398
2024-05-20,65000,0,394,394,0,394
2024-05-21,65000,0,391,391,0,391
2024-05-22,65000,0,397,397,0,397
2024-05-23,65000,0,361,361,0,361
2024-05-24,65000,0,421,421,0,421
2024-05-25,58500,1,591,591,0,591
2024-05-26,55250,1,716,716,0,716
2024-05-27,65000,0,403,403,0,403
2024-05-28,61750,1,460,460,0,460
2024-05-29,65000,0,411,411,0,411
2024-05-30,65000,0,419,419,0,419
2024-05-31,65000,0,399,399,0,399
2024-06-01,65000,0,432,432,0,432
2024-06-02,65000,0,392,392,0,392
2024-06-03,65000,0,346,346,0,346
2024-06-04,65000,0,374,374,0,374
2024-06-05,65000,0,404,404,0,404
2024-06-06,65000,0,382,382,0,382
2024-06-07,65000,0,391,391,0,391
2024-06-08,65000,0,484,484,0,484
2024-06-09,65000,0,408,408,0,408
2024-06-10,65000,0,333,333,0,333
2024-06-11,65000,0,408,408,0,408
2024-06-12,65000,0,412,412,0,412
2024-06-13,65000,0,430,430,0,430
2024-06-14,65000,0,441,441,0,441
2024-06-15,65000,0,411,411,0,411
2024-06-16,65000,0,405,405,0,405
2024-06-17,65000,0,378,378,0,378
2024-06-18,65000,0,421,421,0,421
2024-06-19,65000,0,356,356,0,356
2024-06-20,65000,0,403,403,0,403
2024-06-21,65000,0,379,379,0,379
2024-06-22,65000,0,454,454,0,454
2024-06-23,65000,0,420,420,0,420
2024-06-24,65000,0,362,258,1,402
2024-06-25,52000,1,676,676,0,676
2024-06-26,65000,0,424,424,0,424
2024-06-27,55250,1,567,567,0,567
2024-06-28,52000,1,531,531,0,531
2024-06-29,65000,0,470,470,0,470
2024-06-30,65000,0,541,541,0,541
2024-07-01,65000,0,405,405,0,405
2024-07-02,65000,0,350,350,0,350
2024-07-03,65000,0,382,382,0,382
2024-07-04,65000,0,375,375,0,375
2024-07-05,65000,0,380,380,0,380
2024-07-06,65000,0,511,511,0,511
2024-07-07,65000,0,387,387,0,387
2024-07-08,65000,0,355,355,0,355
2024-07-09,65000,0,349,349,0,349
2024-07-10,65000,0,399,399,0,399
2024-07-11,65000,0,398,398,0,398
2024-07-12,65000,0,434,434,0,434
2024-07-13,65000,0,510,417,1,405
2024-07-14,65000,0,423,423,0,423
2024-07-15,65000,0,378,378,0,378
2024-07-16,65000,0,413,413,0,413
2024-07-17,65000,0,367,367,0,367
2024-07-18,65000,0,390,390,0,390
2024-07-19,65000,0,398,398,0,398
2024-07-20,65000,0,462,462,0,462
2024-07-21,65000,0,478,478,0,478
2024-07-22,65000,0,371,371,0,371
2024-07-23,65000,0,420,420,0,420
2024-07-24,65000,0,352,352,0,352
2024-07-25,58500,1,622,622,0,622
2024-07-26,65000,0,469,469,0,469
2024-07-27,61750,1,541,541,0,541
2024-07-28,61750,1,630,630,0,630
2024-07-29,65000,0,353,353,0,353
2024-07-30,65000,0,370,370,0,370
2024-07-31,65000,0,352,352,0,352
2024-08-01,65000,0,423,423,0,423
2024-08-02,65000,0,423,319,1,448
2024-08-03,65000,0,461,461,0,461
2024-08-04,65000,0,481,481,0,481
2024-08-05,65000,0,370,370,0,370
2024-08-06,65000,0,367,367,0,367
2024-08-07,65000,0,402,402,0,402
2024-08-08,65000,0,381,381,0,381
2024-08-09,65000,0,391,391,0,391
2024-08-10,65000,0,490,490,0,490
2024-08-11,65000,0,403,282,1,412
2024-08-12,65000,0,350,350,0,350
2024-08-13,65000,0,364,364,0,364
2024-08-14,65000,0,396,396,0,396
2024-08-15,65000,0,393,393,0,393
2024-08-16,65000,0,419,419,0,419
2024-08-17,65000,0,398,398,0,398
2024-08-18,65000,0,509,429,1,372
2024-08-19,65000,0,411,411,0,411
2024-08-20,65000,0,348,348,0,348
2024-08-21,65000,0,383,383,0,383
2024-08-22,65000,0,444,444,0,444
2024-08-23,65000,0,383,383,0,383
2024-08-24,65000,0,457,457,0,457
2024-08-25,58500,1,564,564,0,564
2024-08-26,58500,1,454,454,0,454
2024-08-27,61750,1,461,461,0,461
2024-08-28,58500,1,613,613,0,613
2024-08-29,65000,0,411,411,0,411
2024-08-30,65000,0,422,422,0,422
2024-08-31,65000,0,478,478,0,478
2024-09-01,65000,0,480,480,0,480
2024-09-02,65000,0,393,393,0,393
2024-09-03,65000,0,396,396,0,396
2024-09-04,65000,0,405,405,0,405
2024-09-05,65000,0,337,337,0,337
2024-09-06,65000,0,386,386,0,386
2024-09-07,65000,0,455,455,0,455
2024-09-08,65000,0,404,404,0,404
2024-09-09,65000,0,407,407,0,407
2024-09-10,65000,0,365,365,0,365
2024-09-11,65000,0,348,348,0,348
2024-09-12,65000,0,413,413,0,413
2024-09-13,65000,0,438,438,0,438
2024-09-14,65000,0,413,413,0,413
2024-09-15,65000,0,463,463,0,463
2024-09-16,65000,0,329,329,0,329
2024-09-17,65000,0,373,373,0,373
2024-09-18,65000,0,407,407,0,407
2024-09-19,65000,0,458,458,0,458
2024-09-20,65000,0,402,402,0,402
2024-09-21,65000,0,435,435,0,435
2024-09-22,65000,0,445,445,0,445
2024-09-23,65000,0,381,381,0,381
2024-09-24,65000,0,404,404,0,404
2024-09-25,55250,1,490,344,1,419
2024-09-26,55250,1,703,703,0,703
2024-09-27,58500,1,538,538,0,538
2024-09-28,58500,1,497,497,0,497
2024-09-29,65000,0,477,477,0,477
2024-09-30,65000,0,375,375,0,375
2024-10-01,65000,0,395,395,0,395
2024-10-02,65000,0,383,383,0,383
2024-10-03,65000,0,430,430,0,430
2024-10-04,65000,0,475,475,0,475
2024-10-05,65000,0,468,468,0,468
2024-10-06,65000,0,525,525,0,525
2024-10-07,65000,0,397,397,0,397
2024-10-08,65000,0,292,265,1,439
2024-10-09,65000,0,373,373,0,373
2024-10-10,65000,0,433,433,0,433
2024-10-11,65000,0,417,417,0,417
2024-10-12,65000,0,446,446,0,446
2024-10-13,65000,0,413,413,0,413
2024-10-14,65000,0,399,399,0,399
2024-10-15,65000,0,418,418,0,418
2024-10-16,65000,0,402,402,0,402
2024-10-17,65000,0,428,428,0,428
2024-10-18,65000,0,435,232,1,418
2024-10-19,65000,0,480,480,0,480
2024-10-20,65000,0,446,446,0,446
2024-10-21,65000,0,374,374,0,374
2024-10-22,65000,0,417,417,0,417
2024-10-23,65000,0,388,388,0,388
2024-10-24,65000,0,428,340,1,395
2024-10-25,65000,0,513,513,0,513
2024-10-26,58500,1,607,607,0,607
2024-10-27,61750,1,578,578,0,578
2024-10-28,61750,1,472,472,0,472
2024-10-29,65000,0,409,409,0,409
2024-10-30,65000,0,391,391,0,391
2024-10-31,65000,0,369,369,0,369
2024-11-01,65000,0,435,435,0,435
2024-11-02,65000,0,479,479,0,479
2024-11-03,65000,0,511,511,0,511
2024-11-04,65000,0,358,358,0,358
2024-11-05,65000,0,391,391,0,391
2024-11-06,65000,0,436,436,0,436
2024-11-07,65000,0,381,381,0,381
2024-11-08,65000,0,505,505,0,505
2024-11-09,65000,0,452,452,0,452
2024-11-10,65000,0,412,412,0,412
2024-11-11,52000,1,910,910,0,910
2024-11-12,65000,0,418,418,0,418
2024-11-13,65000,0,433,433,0,433
2024-11-14,65000,0,400,400,0,400
2024-11-15,65000,0,381,381,0,381
2024-11-16,65000,0,518,518,0,518
2024-11-17,65000,0,437,232,1,496
2024-11-18,65000,0,389,389,0,389
2024-11-19,65000,0,409,315,1,396
2024-11-20,65000,0,376,376,0,376
2024-11-21,65000,0,452,452,0,452
2024-11-22,65000,0,398,398,0,398
